website,output.cyclomatic,output.cyclomaticDensity,output.halstead.bugs,output.halstead.difficulty,output.halstead.effort,output.halstead.length,output.halstead.time,output.halstead.vocabulary,output.halstead.volume,output.halstead.operands.distinct,output.halstead.operands.total,output.halstead.operators.distinct,output.halstead.operators.total,output.params,output.sloc.logical,output.sloc.physical,class
agyal.net,66,19.316,4.588,47.4235,1304010.435,1617.5,72445.024,188.5,13762.77,170.0,853.0,18.5,764.5,24,242.5,301.5,1
sushasannews.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
airforum.cba.pl,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
nowageringcasinos.com,1,11.110999999999999,0.01,0.0,0.0,9.0,0.0,9.0,28.529,9.0,9.0,0.0,0.0,0,9.0,9.0,0
aksakal.tv,66,19.316,4.588,47.4235,1304010.435,1617.5,72445.024,188.5,13762.77,170.0,853.0,18.5,764.5,24,242.5,301.5,1
lolehbazkonisabz.com,1,50.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0,2.0,2.0,0
alanwatts-abstractionism.tumblr.com,66,38.7605,4.583,47.4235,1304010.435,1614.0,72445.024,184.5,13748.5055,166.0,849.5,18.5,764.5,24,239.0,298.0,1
nexthile.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
alberto1992.altervista.org,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
bordo.com.ar,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
allovid.net,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
sunglassla.myshopify.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
allsatoshi.faucetfly.com,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
r3deped2-my.sharepoint.com,1,50.0,0.001,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,0
allterranews.com,66,38.7605,4.5835,47.4235,1304010.435,1614.0,72445.024,185.0,13749.5055,166.5,849.5,18.5,764.5,24,239.0,298.0,1
fontforlife.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
allvintage.net,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
rentech.com.tr,1,50.0,0.001,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,0
animeminusfam.lt,66,38.7605,4.5835,47.4235,1304010.435,1614.0,72445.024,185.0,13749.5055,166.5,849.5,18.5,764.5,24,239.0,298.0,1
bonlook.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
anna-s.handmade.sk,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
lightnovosti.ru,1,20.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0,5.0,5.0,0
api.etnpooler.com,66,23.7605,4.583,47.4235,1304010.435,1615.5,72445.024,184.5,13748.5055,166.0,851.0,18.5,764.5,24,240.5,299.5,1
commsec.com.au,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
apptipper.com,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
wisatajepang.co.id,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
argentina.nownetflix.com,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
metrospec.com.au,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
ariqnz.blogspot.co.id,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
thepositivemom.com,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
aromalampy.handmade.sk,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
laminat-spb.ru,1,11.110999999999999,0.01,0.0,0.0,9.0,0.0,9.0,28.529,9.0,9.0,0.0,0.0,0,9.0,9.0,0
arrmaforum.com,66,19.316,4.588,47.4235,1304010.435,1617.5,72445.024,188.5,13762.77,170.0,853.0,18.5,764.5,24,242.5,301.5,1
lastprint.ru,1,100.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0,1.0,1.0,0
art-tanja.handmade.sk,66,63.7605,4.583,47.4235,1304010.435,1613.5,72445.024,184.5,13748.5055,166.0,849.0,18.5,764.5,24,238.5,297.5,1
